title,full_text,author_name,author_image,other_image_name,firm_id
"LanceDB 🍢 - serverless, low-latency vector database for AI applications","🙋 Are you building a generative AI app using an LLM or API? Are you working on a new recsys, a modern search engine, or a new analytical tool for unstructured data? Good news: you no longer have to struggle with Pinecone’s high cost, over the top complexity, or data privacy concerns. 🚀 [LanceDB](https://lancedb.com/) is a free and open-source vector database that you can run locally or on your own server. It’s lightning fast and is easy to embed into your backend server. Check out our [github repo](https://github.com/lancedb/lancedb) or pip install lancedb to get started. For a quick demo, you can take a look at our sample [youtube transcript search app](https://github.com/lancedb/lancedb/blob/main/notebooks/youtube_transcript_search.ipynb). We’ll be adding a lot more soon. For more details on the API, take a look at [LanceDB docs](https://lancedb.github.io/lancedb/). ![](https://lancedb.com/images/eto-splash-arrow.png) ### **❓ Why we built LanceDB** As we spoke to builders of ML/AI applications, a common refrain from users was struggling to get services like Pinecone even running. After a while, we realized that the retrieve-filter-hydrate workflow was often time a big bottleneck in productivity and app latency. So we put our heads together. I was one of the original co-authors of the pandas library. Lei was a core-contributor to HDFS and led ML infrastructure at Cruise. Using our experience building data/ML tooling, we’ve built something totally new. ![uploaded image](https://bookface.ycombinator.com/media/?key=user_uploads/858308/435bcc86-88ef-4c62-9f14-ba9d84c5c48f) ### **LanceDB ❤️ builders** We’ve reimagined vector search from the ground up for better developer productivity, scalability, and performance. LanceDB is backed by [Lance format](https://github.com/eto-ai/lance) — a modern columnar data format that is an alternative to parquet. It’s optimized for high speed random access and management of AI datasets like vectors, documents, and images. We then added our own Rust implementations of a number of SOTA ANN-index algorithms to support low-latency vector search. These indices are SSD-based and can easily scale wayyyy beyond memory. What’s more, LanceDB allows you to store and filter other features along with vectors. Our users have been able to replace 3–4 different data stores with LanceDB alone and achieve a speedup at the same time. ### **🛣️ Roadmap** Since our launch, the community has added LangChain support. Our integration for LlamaIndex is also under review. Our current focus is building a TypeScript implementation with a native-level experience.  Currently, we provide a python package called lancedb which is pip installable and delivers a great local workflow. Beyond what we’re working on right now, here’s what you can expect: * Ecosystem **integrations** into OpenAI plugin / AutoGPT etc * Richer set of **embedding functions** and **document processing** conveniences * **Gallery** of generative AI apps powered by LanceDB * Solutions for **cloud** deployment ### **🙏 How to get started** To get started with LanceDB head over to our [repo](https://github.com/lancedb/lancedb). If you have questions, feedback, or want help using LanceDB in your app, don’t hesitate to drop us a line at [contact@lancedb.com](mailto:contact@lancedb.com).",Chang She,https://bookface-images.s3.amazonaws.com/avatars/7fac6d13a6e767ce791580c1200cbdaaa236d900.jpg,Otherimage_25561_1.jpg;,25561
Flagright AI: A GPT-powered AI toolkit for AML compliance ops,"Hi there, this is [Baran](https://www.linkedin.com/in/baranozkan/) and [Madhu](https://www.linkedin.com/in/madhugnadig/) from [Flagright](https://flagright.com/)! 👋🏼 Flagright provides an all-in-one software for financial institutions to manage financial crime risk and meet AML compliance regulations 🕵🏼. Our unified API delivers the essential (and mandatory) capabilities for regulatory compliance such as transaction monitoring, risk scoring, sanctions screening, case management and more, all managed via a no-code, flexible, and intuitive interface by the operational teams.. Flagright offers the fastest integration times globally: 4 days on average across all integrations with fintechs in 6 continents. ![uploaded image](/media/?type=post&id=71272&key=user_uploads/89898/43eea7a5-9a88-4233-b405-f0a70bc36ebe) > # > > # **The launch: Flagright AI 🤖** > > Financial crime ops teams spend a lot of time doing research on customers and investigating suspicious activity on a daily basis. The mundane tasks are the main driver of inefficiency and headcount for financial institutions and fincrime teams 😩. Flagright AI **automates these tasks and even eliminates it entirely** for certain use cases such as merchant monitoring 🔎. In addition to our proprietary technology, Flagright AI leverages the GPT API for specific features. **This is the first time the power of GPT is brought to AML compliance teams at scale, globally!** 🚀 Here's an overview of the newest capabilities: 1. **Merchant monitoring and alerting 🔎:** The GPT-powered merchant monitoring and alerting module enables Flagright customers to monitor merchants across multiple sources and channels with zero manual input. It eliminates 100% of manual monitoring efforts and improves fincrime operations while ensuring fast response times and maximum risk-mitigation. 2. **Salesforce, Zendesk, and Hubspot integrations + GPT summaries ✉️:** The CRM integrations will consolidate your CRM correspondence within the Flagright case management system, with Flagright AI summarizing the highlights of customer correspondence. It eliminates the need to comb through tens of emails and messages for each customer correspondence. As a result, it saves analysts 15% of their time each day, improving operational efficiency and accuracy. 3. **Case and alert narrative generator ✍️:** Our AI Narrative Writer drastically improves analyst performance, decreasing the time it takes to write a contextual narrative for each suspicious activity by 90+%. Flagright AI captures an analyst’s writing style, sentiment, user information, case closing reason, and specific suspicious activity. 4. **AML AI risk score ⚠️:** AML Compliance Officers can now leverage AI to risk score their customers as a complementary mechanism to their traditional risk assessment (CRA) approach. The combination of heuristics & AI delivers maximum operational efficiency while maintaining explainability for regulators. 5. **SAR generator 📇:** Our Suspicious Activity Report generator leverages GPT and can automatically create a SAR for any suspicious activity flagged by our platform's monitoring systems, reducing the time spent by 99%. Flagright AI ensures that SARs are generated consistently and accurately and reduces the risk of errors in manual SAR creation. Flagright AI represents a significant milestone in our journey to empower financial institutions with best-in-class operational tooling for AML compliance and fraud prevention. We are excited to see the impact that Flagright AI will have on our customers and building a safer, more secure financial ecosystem. [Contact us](https://www.flagright.com/contact) to schedule a free demo if you are interested in learning more. # Launch deal * 50% discount on Flagright AI suite for the next 5 customers that sign up. First come, first serve! Get a demo now by clicking [here](https://www.flagright.com/contact)! * Y Combinator companies have additional discounts apply [here](https://deals.ycombinator.com/deals/1159).",Baran Özkan,https://bookface-images.s3.amazonaws.com/avatars/c28c0cf5ddca5d2b2e86467ba5cc43354afd676e.jpg,Otherimage_25608_1.jpg;,25608
Hatchways - Making engineering interviewing look more like real work,"**TL;DR:** Easily customize GitHub-based technical assessments, where candidates can complete tasks like reviewing code, submitting a pull request, or improving a system’s design. Hatchways helps you build a state-of-the-art practical interview process that is customized to your role while saving you engineering interview load along the way. # 👋 The Origin Story I've shared my personal struggle with traditional interviews on [HackerNews](https://news.ycombinator.com/item?id=20578850) and how I’ve never been great at \""performing\"" on the spot. This summarizes well what our mission has always been: _“Mainstream hiring processes are biased towards those who went to great schools, had high GPAs, are native-English speaking, have worked at brand name companies, are extroverts and great networkers, etc. But there are so many talented people who don't fit that profile. We're excited to work on ways of hiring that give them a better chance.”_ Over time, we realized the challenge in solving this issue lies in the fact that companies lack incentives to improve their processes unless it saves them money or time. Thus, Hatchways is on a mission to make talent discovery efficient yet fair. By streamlining skill evaluations, we help companies save time while hiring top talent with the right skills for the job, rather than focusing on pedigree, connections, or interview prowess. # 🤔**The Problem: Inefficient Interviewing** Many companies struggle with inefficient interviewing— spending too much time while not getting quality signal. Although creating a unique process is time-consuming, mimicking FAANG approaches, which most companies do, leads to inaccurate signal, a lot of wasted engineering hours, and increased competition for the same talent pool. # 💡**The Solution: Design a Purposeful Interview Experience** Hatchways enables you to develop an effective interview process, ensuring accurate signal capture, time savings for engineers, and a positive candidate experience. ![uploaded image](/media/?type=post&id=71240&key=user_uploads/321746/b44f8b5f-fbf0-4990-a37e-67afc3768fc5) # 🦄 **How it works:** * **Adopt Best Practices from Leading Tech Companies, and Tailor to your Needs:** We've distilled best practices from tech leaders at Dropbox, Plaid, and Airtable (e.g., crafting rubrics, enhancing candidate experience, setting pass-through rates) and can easily customize them for your company, role, and specific hiring needs. * **Custom Rubrics and Tailored Interview Questions:** Most companies introduce interviewing rubrics too late. This leads to standardization and bias issues, resulting in inconsistent hiring outcomes. We assist in identifying crucial skills and transforming them into a grading rubric to shape the perfect interview question. * **Streamline Grading and Optimize Calibration Effortlessly:** With Hatchways, use our automation features to build test cases or utilize our human-assisted reviewers to reduce your engineering review load. Drawing from the best practices of leading technical teams, we establish a starting benchmark and optimize your on-site pass-through rates over time. ![uploaded image](/media/?type=post&id=71240&key=user_uploads/321746/d2286ba9-dc3f-4647-b835-7b4faf858137) ### **Use Cases** What companies use Hatchways for: * pre-screen technical assessment (i.e. resume replacement) * technical phone-screen step (i.e. 60-90 minute live coding replacement) * university/intern recruiting (i.e. high-volume vetting) Who is this for? * Companies scaling engineering hiring who are aiming to reduce interviewer load * Companies aiming to introduce greater standardization in their interview process # **Asks** * If you’re an engineer who wants to see companies adopt more effective and fair interviewing practices - share this with them * For companies aiming to streamline their interview process while ensuring a fair and enjoyable candidate experience, sign up on our platform [here](https://www.hatchways.io/?utm_source=ycombinator&utm_medium=web&utm_campaign=launch_yc) or reach out directly to me to learn more: [jaclyn@hatchways.io](mailto:jaclyn@hatchways.io)",Jaclyn Ling,https://bookface-images.s3.amazonaws.com/avatars/154cbe9486c0ec21779685f3c1c125cda5ff8f5b.jpg,Otherimage_12659_1.jpg;Otherimage_12659_2.jpg;,12659
📬 Stable: A virtual business address & mailbox (now live in Texas and Florida),"👋 Hey YC! Sarah here — I’m a co-founder at Stable, and we provide companies with a business address and virtual mailbox so they can manage their mail online.  Today we’re thrilled to share that we’ve launched in Texas and Florida (+ with a special deal)!  ![uploaded image](/media/?key=user_uploads/89898/eccd3582-fed8-444e-aed8-ab2015d0a242) **📬 About Stable**  We launched Stable in the middle of the pandemic when companies were shutting down offices and going fully remote but still needed a physical address to use with the government, IRS, banks, and other vendors. But after working with more than 1400 companies like Jeeves, Indiegogo, and Airbyte, we’ve realized that no one likes managing physical mail – whether they’re remote or working out of an office.  So in addition to helping companies open, view, forward and shred mail online, we’ve built features that save companies dozens of hours every month – from startups that just need a business address to incorporate to growth stage businesses processing 1000s of pieces of mail a month.  Here’s what we’ve launched recently. * Search across all mail by sender, receiver, or anything on the envelope * Auto-scan received mail & auto-deposit checks * Get notified when mail is assigned to you or your department * Auto-route mail to the right department * Control mail access with roles and permissions Now, we're excited to be able to help even more companies by launching Stable in two highly-requested locations – Texas and Florida!  ![uploaded image](/media/?key=user_uploads/89898/c7760542-7fa2-4df6-9c09-9ee48e418428) 💰 **Special Deal** Get a $25 monthly discount ($300 annual) when you sign up for an address in Texas or Florida with the code “texas” or “florida”. You can get your address set up in less than 3 minutes [here](https://dashboard.usestable.com/onboard/begin?utm_source=bookface&utm_medium=post&utm_campaign=fl-tx-launch).   If you’d like to learn more or have questions, leave a comment, check out our website, or shoot us an email at [hello@useStable.com](mailto:hello@useStable.com).",Sarah Ahmad,https://bookface-images.s3.amazonaws.com/avatars/5eed01993e9c664a06b5c81f4abfb7de5e53097b.jpg,Otherimage_13512_1.jpg;Otherimage_13512_2.jpg;,13512
🤖 Deekard - Your autonomous assistant for data science and analytics,"Hey everyone! We’re Tammo and Dustin from [Deekard](https://www.deekard.com/). **_TL;DR:_** _Deekard is an all-in-one data science and analytics assistant. Connect your data source and get any question answered and any task executed, using only natural language. Powered by GPT-4, our AI model understands your intent, plans workflows, and executes them step-by-step._ **The Problem** Data science involves a wide range of skills, tools, and formats, which can be challenging to learn and manage. Tasks like extracting data with SQL, training machine learning pipelines with Python, and visualizing data using frameworks such as Vega are time-consuming, iterative, and error-prone. **Our Solution** Deekard simplifies data science by offering a chat interface where you simply state what you want to do and watch the AI select the right tools in the right order. Like in a data science notebook, you can refer to previously created datasets and refine or combine them later in the conversation. Data science has never been easier or more approachable. ![uploaded image](/media/?type=post&id=71231&key=user_uploads/825709/1d06fb3a-336e-4c6f-b93a-ce38f4a0a6f1) **Features** 📚 Database: Write queries in natural language and let Deekard translate them into SQL for you! Simply state your query, and you'll receive the result table. 🐍 Python: Transform data or apply machine learning models with ease. Just write your request, and Deekard translates it into Python code and executes it. You'll get the results in no time. 📊 Visualization: Generate charts with natural language. Deekard translates your request into Vega-Lite specifications and creates beautiful visualizations. Apply changes to charts just by writing them down. 🧠 Wikipedia: Enrich your datasets by retrieving tables from Wikipedia. Just write your request, and Deekard will access the world's greatest knowledge base for you. 🎯 Task Organization: Write complex requests, and Deekard will split them into multiple tasks that are executed in the right order. **Start Today** You can start using Deekard today at [deekard.com](http://deekard.com). Thank you for your support, and we look forward to hearing your thoughts on Deekard! 🎉",Dustin Lange,https://bookface-images.s3.amazonaws.com/avatars/0236f2b924cc4a53bf62faedf2455f746f33d45b.jpg,Otherimage_26756_1.jpg;,26756
Fuse: Maximize coverage & conversions for financial account connections,"We are Tunde, Landon, and Boateng, and we're excited to introduce [Fuse](https://www.letsfuse.com/)! **TL;DR - If you're searching for better bank connection coverage, improved connection reliability, and higher bank link conversion rates for your business, Fuse makes it easy to integrate multiple financial data aggregators and choose the best one for each institution. **[**Schedule a 30-minute demo**](https://calendly.com/letsfuse/fuse-demo)** to see how we can help you.** ![uploaded image](/media/?type=post&id=71221&key=user_uploads/282513/e3a48d75-09ab-4061-9ad1-3f98bd3e1ae2) ### ❌ The Problem If you're building a product that requires customers to link their financial accounts, you might have integrated one financial data aggregator, only to experience the following issues: 1. Customers unable to link unsupported institutions (e.g. credit unions, local or community banks) 2. Frequent disconnections & API errors 3. Low conversion rates to customers linking their financial accounts We are familiar with this pain as we spent 3 years working on a consumer fintech app that required every customer to link their bank account. ### ✨ The Solution Fuse provides companies access to multiple financial data aggregators through a single integration and automatically selects the most reliable and optimally converting one for each connection. With Fuse, you can: * Support 10,000 more institutions * Reduce disconnections by 15% * Increase API success rates by 28% Fuse provides a consistent data model for all bank integrations and handles the necessary data transformations and API quirks for you. ![uploaded image](/media/?type=post&id=71221&key=user_uploads/282513/671c4290-e853-4b74-ab1a-851bc735437c) ### ❤️ Favorite features of our customers * Fast integration: It takes one engineer just an afternoon to have a fully working integration, compared to months when combining aggregators in-house. * We partner with aggregators to help you get no-minimum, affordable contracts, and production API keys quickly. * Receive instant integration help and tech support via Slack from Fuse engineers. * Vast SDK availability: e.g., React, React Native, Flutter, iOS, Android, Node.js, Ruby, Python, and more. ### ⚡How easy is it to migrate to Fuse? Migration is seamless due to our consistent data model resembling top aggregators, and our backward compatible endpoints that accept Fuse or aggregator access tokens, simplifying server updates. ![uploaded image](/media/?type=post&id=71221&key=user_uploads/282513/93fa3bc8-8b6c-48e8-8e59-ef703d4c58bd) ### **🫶** Ask 1. [Schedule a 30 minute demo](https://calendly.com/letsfuse/fuse-demo) to see Fuse in action and learn more about how Fuse can improve your financial connections.",Tunde Alao,https://bookface-images.s3.amazonaws.com/avatars/4f51b3f06bda819618b818f5a2ac7b97343f61e8.jpg,Otherimage_12073_1.jpg;Otherimage_12073_2.jpg;Otherimage_12073_3.jpg;,12073
"🔎 Procoto - Manage RFPs, contracts, and vendors with ease",,Michael Otis,https://bookface-images.s3.amazonaws.com/avatars/0325fbdd00265aff55164cb446218dd70c6aaf2a.jpg,,22867
"MovingLake - Vertical-first, realtime, AI-enabled data platform","Hi!\\ **We are now launching our LLM-enabled BI tool which allows all of our clients to query their databases by using prompts in plain english.** ![uploaded image](/media/?type=post&id=71150&key=user_uploads/200174/8c06ceeb-4d8f-48ac-a152-3535bfb76eb6) Happy to announce that MovingLake user’s can not only get their data centralized in their data warehouse, but we are now enabling an end-to-end business intelligence experience where in a matter of minutes you can get the data flowing AND get the dashboards going. This is important because not all of our clients are friendly with SQL or with BI tools. Letting them access their data in a secure way and using plain english questions is a game changer for them. **Ask** We are looking to integrate to other data connector tools and companies as well as other data products to be able to give the most value faster to our clients. Please reach out if this would be interesting to your company.\\ \\ We are available at [andres@movinglake.com](mailto:andres@movinglake.com) and [edgar@movinglake.com](mailto:edgar@movinglake.com)",Andres Paez,https://bookface-images.s3.amazonaws.com/avatars/224e0603789e0166a5ffd26612b9fe00f2bf79fb.jpg,Otherimage_27177_1.jpg;,27177
Inventory LogIQ: AI-enabled inventory planning for multi-channel consumer brands,,Harsh Vaidya,https://bookface-images.s3.amazonaws.com/avatars/bc7bc3bb11a341dfe9f58dce12b7d5d2c6f5d953.jpg,,21998
Bend - A corporate card built for climate-friendly businesses ($100 to try it),,Ted Power,https://bookface-images.s3.amazonaws.com/avatars/b995d7e8fed9f61379fd0e6e05582fd4ff7a6456.jpg,,26703
